grating_mod grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
0.9 5.82327 4.5543929e+08 3063.9307 0.083243455 0.00017719945 1.9366692e-05 6.2451161e-08 6.1793432e-10 NaN 0.019303536 0.00012630252 1.4094197 0.0041926872 2.6235674e-08 2.0183079e-10 0.00042839854 2.0898349e-05
0.91 5.887973 4.5543928e+08 3063.9302 0.08324345 0.00017719804 1.9799451e-05 6.3845749e-08 6.1904523e-10 NaN 0.019303536 0.00012630254 1.4094198 0.0041926872 2.6235673e-08 2.0183081e-10 0.00042839777 2.0898503e-05
0.92 5.952676 4.5543928e+08 3063.9298 0.083243444 0.00017719668 2.0236992e-05 6.5255747e-08 6.2012063e-10 NaN 0.019303537 0.00012630256 1.40942 0.0041926882 2.6235672e-08 2.0183083e-10 0.00042839702 2.0898652e-05
0.93 6.017379 4.5543928e+08 3063.9293 0.083243438 0.00017719536 2.0679314e-05 6.6681154e-08 6.2116246e-10 NaN 0.019303537 0.00012630258 1.4094201 0.0041926885 2.6235672e-08 2.0183085e-10 0.0004283963 2.0898797e-05
0.94 6.082082 4.5543928e+08 3063.9289 0.083243433 0.00017719408 2.1126419e-05 6.8121972e-08 6.2217044e-10 NaN 0.019303537 0.00012630259 1.4094203 0.0041926894 2.6235671e-08 2.0183087e-10 0.0004283956 2.0898936e-05
0.95 6.146785 4.5543926e+08 3063.9219 0.083243428 0.00017719317 2.1578305e-05 6.9578325e-08 6.2314607e-10 NaN 0.019303538 0.00012630285 1.4094228 0.0041926983 2.6235666e-08 2.0183123e-10 0.0004283949 2.089911e-05
0.96 6.211488 4.5543926e+08 3063.9219 0.083243423 0.00017719195 2.2034973e-05 7.1049957e-08 6.2409329e-10 NaN 0.019303538 0.00012630285 1.4094228 0.0041926978 2.6235665e-08 2.0183123e-10 0.00042839424 2.0899238e-05
0.97 6.276191 4.5543927e+08 3063.9259 0.083243418 0.00017719057 2.2496423e-05 7.2536918e-08 6.2501703e-10 NaN 0.019303538 0.0001263027 1.4094214 0.0041926931 2.6235668e-08 2.0183101e-10 0.00042839362 2.089934e-05
0.98 6.340894 4.5543927e+08 3063.9258 0.083243414 0.00017718944 2.2962655e-05 7.4039372e-08 6.2591118e-10 NaN 0.019303539 0.00012630271 1.4094214 0.0041926928 2.6235668e-08 2.0183102e-10 0.000428393 2.0899462e-05
0.99 6.405597 4.5543927e+08 3063.9255 0.083243409 0.00017718834 2.3433669e-05 7.5557236e-08 6.2676922e-10 NaN 0.019303539 0.00012630272 1.4094215 0.0041926939 2.6235667e-08 2.0183103e-10 0.0004283924 2.0899581e-05
1 6.4703 4.5543927e+08 3063.9253 0.083243405 0.00017718727 2.3909465e-05 7.709051e-08 6.2760851e-10 NaN 0.019303539 0.00012630273 1.4094216 0.0041926939 2.6235667e-08 2.0183104e-10 0.00042839182 2.0899696e-05
1.01 6.535003 4.5543927e+08 3063.9251 0.083243401 0.00017718624 2.4390043e-05 7.8639194e-08 6.2841006e-10 NaN 0.019303539 0.00012630274 1.4094217 0.0041926942 2.6235667e-08 2.0183104e-10 0.00042839126 2.0899807e-05
1.02 6.599706 4.5543927e+08 3063.9249 0.083243397 0.00017718523 2.4875402e-05 8.0203288e-08 6.2918472e-10 NaN 0.01930354 0.00012630274 1.4094217 0.0041926947 2.6235666e-08 2.0183105e-10 0.00042839071 2.0899916e-05
1.03 6.664409 4.5543927e+08 3063.9246 0.083243393 0.00017718426 2.5365543e-05 8.1782792e-08 6.2994697e-10 NaN 0.01930354 0.00012630275 1.4094218 0.0041926942 2.6235666e-08 2.0183106e-10 0.00042839018 2.0900022e-05
1.04 6.729112 4.5543924e+08 3063.9131 0.083243388 0.00017718387 2.5860466e-05 8.3377968e-08 6.3067679e-10 NaN 0.01930354 0.00012630319 1.409426 0.004192709 2.6235657e-08 2.0183168e-10 0.00042838964 2.090019e-05
